store_id,sector,condition,info,search,cx,esg,platform,total
S01,korean,pre,52.5,6.9,18.6,6.7,32.5,23.4
S01,korean,post,66.7,0.0,45.4,38.7,63.5,42.9
S02,korean,pre,64.5,0.0,12.6,0.0,0.0,15.4
S02,korean,post,88.4,5.8,45.0,36.8,36.2,42.4
S03,korean,pre,44.6,0.0,18.9,0.0,50.6,22.8
S03,korean,post,63.8,2.7,50.9,27.1,81.1,45.1
S04,korean,pre,54.2,0.0,34.2,2.1,38.5,25.8
S04,korean,post,52.6,0.0,22.6,5.7,70.1,30.2
S05,korean,pre,56.2,1.8,45.3,5.7,24.4,26.7
S05,korean,post,50.6,0.0,38.4,28.7,51.3,33.8
S06,korean,pre,47.1,0.0,19.3,20.8,16.6,20.8
S06,korean,post,75.0,8.5,54.5,55.5,52.5,49.2
S07,korean,pre,61.6,10.8,35.2,11.7,22.8,28.4
S07,korean,post,80.8,5.6,64.2,35.2,57.0,48.6
S08,korean,pre,62.9,22.4,37.2,23.9,32.4,35.8
S08,korean,post,81.5,15.3,69.5,52.1,73.8,58.4
S09,korean,pre,44.1,0.0,16.7,0.0,18.0,15.8
S09,korean,post,62.4,0.0,51.3,31.9,48.8,38.9
S10,korean,pre,45.3,0.0,37.7,0.0,26.4,21.9
S10,korean,post,61.0,0.0,68.5,29.0,55.8,42.9
S11,cafe,pre,58.8,14.5,7.8,3.4,22.1,21.3
S11,cafe,post,79.9,18.8,44.8,34.9,55.6,46.8
S12,cafe,pre,42.0,0.0,13.6,19.3,32.5,21.5
S12,cafe,post,37.0,0.0,38.9,42.6,67.5,37.2
S13,cafe,pre,42.2,8.1,25.2,25.8,30.5,26.4
S13,cafe,post,62.1,9.9,55.5,60.2,61.4,49.8
S14,cafe,pre,42.2,5.5,35.8,11.8,28.4,24.7
S14,cafe,post,69.2,15.1,75.9,46.0,72.9,55.8
S15,cafe,pre,56.4,1.5,31.5,28.3,34.3,30.4
S15,cafe,post,77.4,4.4,61.6,60.1,68.4,54.4
S16,cafe,pre,60.2,2.0,19.3,13.7,58.9,30.8
S16,cafe,post,78.7,5.4,48.2,49.3,96.9,55.7
S17,cafe,pre,68.8,1.7,43.0,4.9,69.2,37.5
S17,cafe,post,94.6,8.9,87.5,36.8,100.0,65.6
S18,cafe,pre,45.7,0.0,11.0,18.9,37.9,22.7
S18,cafe,post,73.0,7.4,53.7,51.7,78.5,52.9
S19,cafe,pre,44.5,0.0,7.4,5.4,55.3,22.5
S19,cafe,post,63.9,0.0,35.7,33.3,85.4,43.7
S20,cafe,pre,54.2,3.0,40.4,2.2,46.2,29.2
S20,cafe,post,70.7,0.0,77.2,26.6,76.9,50.3
S21,tourism,pre,49.6,0.0,27.2,0.0,36.3,22.6
S21,tourism,post,64.7,1.4,60.5,32.5,65.5,44.9
S22,tourism,pre,62.1,0.0,28.4,14.0,23.1,25.5
S22,tourism,post,79.5,3.9,60.0,45.8,63.7,50.6
S23,tourism,pre,57.9,18.5,28.4,38.9,33.3,35.4
S23,tourism,post,78.5,20.1,64.3,67.0,69.1,59.8
S24,tourism,pre,66.6,11.4,40.8,27.7,46.7,38.6
S24,tourism,post,64.3,5.7,38.6,24.1,76.2,41.8
S25,tourism,pre,63.7,0.6,34.7,39.5,25.6,32.8
S25,tourism,post,79.8,2.0,67.8,68.6,55.3,54.7
S26,tourism,pre,72.1,16.2,32.6,21.3,34.2,35.3
S26,tourism,post,88.6,17.4,59.8,54.6,66.3,57.3
S27,tourism,pre,46.2,0.0,28.7,0.0,19.8,18.9
S27,tourism,post,68.2,7.6,66.0,31.7,56.6,46.0
S28,tourism,pre,61.9,12.6,32.4,18.0,45.3,34.0
S28,tourism,post,77.3,6.2,63.2,52.4,74.5,54.7
S29,tourism,pre,64.2,9.5,39.6,9.3,39.4,32.4
S29,tourism,post,64.1,2.6,39.0,31.3,65.7,40.5
S30,tourism,pre,72.9,0.0,36.5,19.7,38.9,33.6
S30,tourism,post,93.8,2.3,71.4,45.9,72.3,57.1
